                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0167,                 28.842,                0.91153,                0.32008,                0.07088,                0.04016,                0.02816,                0.31904,                 3.2896,                0.29616,             0.00023397,             0.00023397,             0.00023397
                      2,                0.40399,                 1.7202,                0.30551,                0.56427,                0.43467,                 0.4167,                0.34304,                0.27922,                 1.3051,                0.28388,             0.00046262,             0.00046262,             0.00046262
                      3,                0.34048,                0.95625,                0.25676,                0.72577,                 0.6858,                0.73184,                0.60365,                0.26852,                 0.7911,                0.27819,             0.00068185,             0.00068185,             0.00068185
                      4,                0.31078,                0.74676,                0.23292,                0.86987,                0.79241,                0.83505,                0.67522,                0.28031,                 0.6299,                0.29032,             0.00067159,             0.00067159,             0.00067159
                      5,                0.29598,                0.65965,                0.21752,                0.82225,                0.81321,                0.87411,                0.72794,                 0.2286,                0.67125,                0.24411,             0.00065745,             0.00065745,             0.00065745
                      6,                0.29858,                0.65054,                0.20561,                0.77202,                0.74858,                0.81433,                0.66347,                0.24149,                0.78447,                0.25672,             0.00064331,             0.00064331,             0.00064331
                      7,                 0.2755,                0.60547,                0.19817,                0.91014,                0.83218,                0.87559,                0.74838,                0.22245,                0.49217,                0.22295,             0.00062918,             0.00062918,             0.00062918
                      8,                0.26496,                0.55802,                0.19484,                0.93792,                0.86296,                0.90458,                0.79162,                0.21036,                0.41261,                0.22149,             0.00061504,             0.00061504,             0.00061504
                      9,                 0.2738,                0.52612,                0.19519,                0.95269,                0.86389,                0.89595,                0.78806,                 0.2115,                0.40898,                0.21489,              0.0006009,              0.0006009,              0.0006009
                     10,                0.25708,                0.54003,                0.18106,                0.92805,                0.86222,                0.90148,                0.78157,                0.22275,                0.47045,                0.22574,             0.00058677,             0.00058677,             0.00058677
                     11,                0.25466,                0.48713,                0.19285,                0.92717,                0.87968,                0.91173,                 0.7859,                0.21282,                0.44133,                0.22248,             0.00057263,             0.00057263,             0.00057263
                     12,                0.23841,                0.48032,                0.16675,                 0.9531,                  0.852,                0.91818,                0.81242,                0.19329,                0.37133,                0.18647,             0.00055849,             0.00055849,             0.00055849
                     13,                0.23099,                0.47622,                0.16199,                0.95314,                0.86258,                0.91081,                0.80307,                0.20408,                0.37028,                0.20074,             0.00054435,             0.00054435,             0.00054435
                     14,                0.24347,                0.49026,                0.16787,                0.94123,                0.88712,                0.92901,                0.79892,                0.19758,                 0.3858,                0.19294,             0.00053022,             0.00053022,             0.00053022
                     15,                0.23669,                0.46575,                0.15864,                0.91703,                0.86068,                0.91295,                0.79887,                0.19394,                0.43419,                0.19971,             0.00051608,             0.00051608,             0.00051608
                     16,                0.22723,                0.46284,                 0.1635,                0.94751,                0.88982,                0.92288,                0.81128,                0.18421,                0.36737,                0.18709,             0.00050194,             0.00050194,             0.00050194
                     17,                0.21296,                0.41413,                 0.1448,                0.97825,                0.88645,                0.93908,                0.83232,                0.19152,                0.31845,                0.18209,              0.0004878,              0.0004878,              0.0004878
                     18,                0.22439,                0.42407,                0.15998,                0.95557,                0.92598,                 0.9465,                 0.8365,                0.18384,                0.37124,                0.19426,             0.00047367,             0.00047367,             0.00047367
