                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.88081,                 63.098,                0.98611,                 0.0113,                0.21001,                0.00715,                0.00527,                0.36043,                 2.8735,                0.30937,             0.00023397,             0.00023397,             0.00023397
                      2,                0.38985,                 1.9835,                0.32544,                0.60075,                 0.2955,                0.24598,                0.19716,                0.30313,                  1.398,                0.30775,             0.00042524,             0.00042524,             0.00042524
                      3,                 0.3104,                 1.1506,                0.29003,                0.74524,                0.67676,                 0.7022,                 0.5898,                 0.2562,                0.90033,                0.24668,             0.00056939,             0.00056939,             0.00056939
                      4,                0.27852,                0.74406,                 0.2251,                0.89734,                0.76509,                0.81166,                0.68402,                0.24181,                0.66415,                0.24828,             0.00050194,             0.00050194,             0.00050194
                      5,                0.24753,                0.60097,                0.21094,                0.89907,                0.85698,                0.88782,                0.75011,                0.24812,                0.44419,                0.26506,             0.00043126,             0.00043126,             0.00043126
                      6,                0.22714,                0.47293,                0.18456,                0.89774,                0.86935,                0.90693,                0.78558,                 0.1996,                0.46385,                0.20803,             0.00036057,             0.00036057,             0.00036057
                      7,                0.20658,                0.37592,                0.16571,                 0.9401,                0.87459,                0.91059,                0.78634,                0.20488,                0.43942,                0.21571,             0.00028988,             0.00028988,             0.00028988
                      8,                0.18409,                0.35771,                0.14563,                0.96254,                0.90605,                0.93773,                0.81602,                0.19329,                0.33829,                0.20023,              0.0002192,              0.0002192,              0.0002192
                      9,                0.17905,                0.30304,                0.13915,                0.96971,                 0.9162,                0.94289,                0.83431,                0.18016,                0.32498,                0.17785,             0.00014851,             0.00014851,             0.00014851
                     10,                0.16177,                0.27755,                0.11645,                0.98064,                0.92861,                0.94117,                0.83038,                 0.1882,                 0.3063,                0.19456,             7.7826e-05,             7.7826e-05,             7.7826e-05
