                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0356,                  2.648,                 1.3287,                0.58487,                0.56041,                0.56015,                0.38498,                 1.0082,                 5.4089,                 1.3637,             0.00023397,             0.00023397,             0.00023397
                      2,                 1.1009,                  1.853,                 1.3734,                0.45399,                0.56119,                0.47053,                0.28001,                 1.2319,                 10.316,                  2.007,             0.00046729,             0.00046729,             0.00046729
                      3,                 1.2015,                 1.8731,                 1.4243,                0.45699,                0.28265,                0.19895,                0.12027,                 1.6557,                 9.1619,                 2.2003,             0.00069591,             0.00069591,             0.00069591
                      4,                  1.198,                 1.7375,                 1.4155,                0.67525,                0.38718,                0.43254,                0.26825,                 1.4108,                 4.2844,                 1.7041,             0.00069279,             0.00069279,             0.00069279
                      5,                 1.1412,                 1.5885,                 1.3724,                0.57101,                0.50244,                0.53755,                0.33159,                 1.3413,                 2.0753,                 1.6372,             0.00068573,             0.00068573,             0.00068573
                      6,                 1.1328,                 1.4967,                 1.3607,                0.63274,                0.62626,                 0.6721,                0.46667,                 1.1072,                 1.7851,                 1.4218,             0.00067866,             0.00067866,             0.00067866
                      7,                 1.0831,                 1.3552,                  1.306,                0.72708,                0.71086,                0.75855,                0.54368,                0.98453,                 1.4801,                 1.3423,             0.00067159,             0.00067159,             0.00067159
                      8,                 1.0525,                 1.3058,                 1.3064,                0.77848,                0.69463,                0.77862,                0.56183,                 1.0247,                 1.0949,                 1.3052,             0.00066452,             0.00066452,             0.00066452
                      9,                0.97823,                 1.2637,                 1.2727,                0.77725,                0.68438,                0.78184,                0.57628,                0.96303,                 1.1651,                  1.307,             0.00065745,             0.00065745,             0.00065745
                     10,                0.97736,                 1.1577,                 1.2691,                0.83103,                0.70238,                0.81314,                0.59318,                 1.0015,                 1.0962,                 1.3033,             0.00065038,             0.00065038,             0.00065038
