                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1326,                 3.6587,                 1.3328,                0.87533,                0.17882,                0.34301,                0.24669,                 0.9952,                 2.9261,                 1.2496,             0.00023397,             0.00023397,             0.00023397
                      2,                 1.0038,                 2.4575,                 1.2455,                0.55783,                0.57879,                0.60163,                0.45885,                0.97143,                 1.8346,                 1.2618,             0.00046729,             0.00046729,             0.00046729
                      3,                0.98244,                 2.0364,                 1.2243,                 0.6706,                0.63244,                0.70003,                0.51798,                0.96325,                 1.6263,                 1.2368,             0.00069591,             0.00069591,             0.00069591
                      4,                0.95154,                 1.7606,                 1.1849,                0.81977,                0.64129,                0.73772,                0.52987,                 1.0015,                 1.7196,                 1.2379,             0.00069279,             0.00069279,             0.00069279
                      5,                0.95872,                 1.6583,                   1.19,                0.84805,                0.65419,                0.77074,                0.57091,                0.91599,                 1.4153,                 1.2134,             0.00068573,             0.00068573,             0.00068573
                      6,                0.90024,                 1.5159,                 1.1457,                0.83449,                0.73267,                 0.8225,                0.61682,                0.88342,                 1.3282,                 1.1788,             0.00067866,             0.00067866,             0.00067866
                      7,                0.87335,                 1.3826,                  1.131,                 0.8155,                0.78366,                0.84092,                0.65034,                0.87511,                  1.181,                 1.1903,             0.00067159,             0.00067159,             0.00067159
                      8,                0.87538,                 1.3125,                 1.1378,                 0.9025,                0.77811,                0.84962,                0.65622,                0.82365,                 1.0869,                 1.1394,             0.00066452,             0.00066452,             0.00066452
                      9,                0.88316,                 1.2972,                 1.1463,                0.83693,                0.79904,                0.86927,                0.66186,                0.86598,                 1.0317,                 1.1754,             0.00065745,             0.00065745,             0.00065745
                     10,                0.83766,                 1.2013,                 1.1138,                0.84697,                0.82348,                0.86309,                0.66026,                 0.8473,                 1.0873,                  1.154,             0.00065038,             0.00065038,             0.00065038
                     11,                0.84402,                  1.153,                  1.105,                0.84593,                 0.8122,                0.87354,                0.69797,                0.78416,                0.98704,                 1.1122,             0.00064331,             0.00064331,             0.00064331
                     12,                 0.8166,                 1.1047,                 1.1178,                0.93275,                0.84056,                0.90525,                0.72638,                0.76016,                 0.8558,                 1.0947,             0.00063625,             0.00063625,             0.00063625
                     13,                0.79829,                 1.0207,                 1.0826,                0.90879,                 0.7823,                0.87652,                0.68606,                0.85124,                0.92183,                 1.1481,             0.00062918,             0.00062918,             0.00062918
                     14,                0.78451,                0.97205,                 1.0855,                0.92035,                0.85783,                0.91053,                0.73263,                 0.7315,                0.76989,                  1.065,             0.00062211,             0.00062211,             0.00062211
                     15,                0.78057,                0.95217,                 1.0798,                0.89984,                0.84423,                0.89268,                0.71455,                0.76321,                0.76552,                 1.0722,             0.00061504,             0.00061504,             0.00061504
                     16,                0.75789,                0.91125,                 1.0702,                0.93655,                0.81882,                0.89725,                0.71698,                0.74782,                0.77176,                 1.0628,             0.00060797,             0.00060797,             0.00060797
                     17,                 0.7602,                0.90929,                 1.0707,                0.91853,                0.80436,                0.89865,                0.72471,                0.74005,                0.79525,                 1.0798,              0.0006009,              0.0006009,              0.0006009
                     18,                0.74943,                0.86297,                 1.0576,                0.89897,                0.82305,                0.89826,                0.73488,                0.73334,                0.70264,                 1.0722,             0.00059383,             0.00059383,             0.00059383
                     19,                0.72394,                0.83555,                 1.0548,                0.92961,                0.86495,                0.90741,                0.74034,                0.73957,                0.70531,                 1.0688,             0.00058677,             0.00058677,             0.00058677
                     20,                0.72565,                0.82303,                 1.0503,                0.93329,                0.88571,                0.92497,                0.76441,                0.66548,                0.60485,                 1.0226,              0.0005797,              0.0005797,              0.0005797
                     21,                0.71114,                0.78428,                 1.0411,                 0.9499,                0.84199,                0.93217,                0.77187,                0.68044,                0.62415,                 1.0345,             0.00057263,             0.00057263,             0.00057263
                     22,                  0.693,                0.75807,                 1.0311,                0.95441,                0.83154,                0.91911,                0.75907,                0.70229,                0.62436,                 1.0326,             0.00056556,             0.00056556,             0.00056556
                     23,                0.72097,                 0.7721,                 1.0402,                0.94711,                0.84967,                0.91524,                0.76378,                0.67923,                0.61424,                 1.0116,             0.00055849,             0.00055849,             0.00055849
                     24,                0.69031,                0.74968,                 1.0327,                0.94654,                0.85904,                0.92539,                0.77556,                0.64288,                0.61576,                 1.0062,             0.00055142,             0.00055142,             0.00055142
                     25,                0.70027,                0.74315,                  1.048,                0.96585,                0.84549,                0.92217,                0.75886,                0.67173,                 0.5973,                 1.0347,             0.00054435,             0.00054435,             0.00054435
                     26,                0.70605,                0.73334,                  1.043,                0.92927,                0.86985,                0.92154,                0.76479,                0.64629,                0.56539,                 1.0164,             0.00053728,             0.00053728,             0.00053728
                     27,                 0.6605,                0.70692,                 1.0194,                0.96028,                0.87537,                0.92535,                0.77222,                0.65003,                0.54872,                 1.0194,             0.00053022,             0.00053022,             0.00053022
                     28,                0.66356,                0.65557,                 1.0286,                0.94951,                0.86824,                0.92364,                0.76023,                0.67551,                 0.5671,                 1.0374,             0.00052315,             0.00052315,             0.00052315
                     29,                0.67659,                0.66812,                 1.0269,                0.90986,                 0.8741,                0.92594,                0.77788,                0.66027,                0.57564,                 1.0247,             0.00051608,             0.00051608,             0.00051608
                     30,                0.66048,                0.67581,                 1.0136,                0.94209,                0.87472,                0.92326,                0.77994,                 0.6669,                0.57214,                 1.0431,             0.00050901,             0.00050901,             0.00050901
                     31,                0.65766,                0.66405,                 1.0158,                0.96631,                0.85452,                0.92069,                0.77393,                0.65219,                0.53807,                 1.0074,             0.00050194,             0.00050194,             0.00050194
                     32,                 0.6531,                0.63683,                  1.023,                0.96597,                0.86929,                0.92312,                0.78702,                0.63398,                0.54351,                 1.0026,             0.00049487,             0.00049487,             0.00049487
                     33,                0.63069,                0.61483,                  1.003,                 0.9284,                0.89944,                0.92765,                0.79969,                0.60847,                0.49966,                0.99476,              0.0004878,              0.0004878,              0.0004878
                     34,                0.63741,                0.61481,                 1.0148,                0.95235,                0.86205,                0.92029,                0.77097,                0.65928,                0.52061,                0.99799,             0.00048074,             0.00048074,             0.00048074
                     35,                0.63435,                0.59951,                 1.0058,                0.96101,                0.86252,                0.92521,                0.78896,                0.60823,                0.52657,                0.99558,             0.00047367,             0.00047367,             0.00047367
                     36,                0.64708,                0.60351,                 1.0159,                0.95975,                0.87033,                0.93377,                0.79615,                0.60954,                0.50086,                0.98106,              0.0004666,              0.0004666,              0.0004666
                     37,                0.63656,                0.61125,                   1.01,                0.94258,                0.89783,                0.94011,                0.81373,                0.58335,                0.47275,                0.97143,             0.00045953,             0.00045953,             0.00045953
                     38,                0.62218,                0.58554,                0.99598,                0.94777,                0.88644,                0.92805,                0.78553,                0.62769,                0.48723,                0.99415,             0.00045246,             0.00045246,             0.00045246
                     39,                0.61823,                0.58028,                0.99958,                0.92891,                0.88671,                0.93122,                0.79557,                0.59757,                  0.494,                0.98163,             0.00044539,             0.00044539,             0.00044539
                     40,                0.61225,                0.57466,                0.99786,                0.94124,                0.91025,                0.93619,                0.80763,                0.60087,                0.47546,                 0.9763,             0.00043832,             0.00043832,             0.00043832
                     41,                0.59272,                0.56145,                0.98765,                0.95208,                0.89568,                0.93967,                 0.8107,                0.60749,                0.48494,                0.99861,             0.00043126,             0.00043126,             0.00043126
                     42,                0.59453,                0.56028,                0.98296,                0.97526,                0.88191,                0.93846,                0.80666,                0.59634,                0.46256,                0.99008,             0.00042419,             0.00042419,             0.00042419
                     43,                 0.6217,                0.57367,                0.99783,                0.94026,                0.89504,                0.92941,                0.78886,                0.60903,                0.47253,                 1.0044,             0.00041712,             0.00041712,             0.00041712
                     44,                0.59547,                0.54119,                0.98547,                0.93124,                0.90416,                0.92425,                0.79709,                0.59848,                0.46582,                 1.0076,             0.00041005,             0.00041005,             0.00041005
                     45,                0.59258,                0.53563,                0.98027,                0.93956,                0.89799,                 0.9383,                 0.8086,                0.60589,                0.47685,                0.99466,             0.00040298,             0.00040298,             0.00040298
                     46,                0.56742,                0.52255,                0.97628,                0.95697,                0.86959,                0.94075,                0.81957,                0.57458,                0.46104,                0.97719,             0.00039591,             0.00039591,             0.00039591
                     47,                0.56951,                0.52521,                 0.9759,                0.96551,                0.88832,                0.94461,                0.81468,                0.58296,                0.45625,                0.95803,             0.00038884,             0.00038884,             0.00038884
                     48,                0.58057,                0.50821,                0.97951,                 0.9497,                0.88339,                0.93269,                0.80104,                0.60287,                0.45574,                0.99023,             0.00038178,             0.00038178,             0.00038178
                     49,                0.57431,                0.51129,                0.97477,                0.94015,                0.87982,                0.93524,                 0.8064,                0.57348,                0.44623,                0.95825,             0.00037471,             0.00037471,             0.00037471
                     50,                0.56476,                0.52023,                0.97179,                0.96703,                0.88166,                0.94619,                0.81464,                0.58115,                0.45813,                 0.9741,             0.00036764,             0.00036764,             0.00036764
                     51,                0.56839,                0.51154,                0.97737,                0.96397,                0.87996,                0.94755,                0.81806,                0.57567,                 0.4417,                0.95167,             0.00036057,             0.00036057,             0.00036057
                     52,                0.57325,                 0.5153,                 0.9808,                0.96721,                0.88364,                0.92977,                0.79499,                0.61182,                0.46974,                0.96873,              0.0003535,              0.0003535,              0.0003535
                     53,                0.56273,                0.50296,                  0.971,                0.94547,                0.89829,                0.93535,                0.80721,                0.57209,                0.43068,                0.96694,             0.00034643,             0.00034643,             0.00034643
                     54,                0.56902,                0.49889,                0.97688,                0.96444,                 0.8795,                0.93086,                0.81395,                 0.5562,                 0.4391,                0.95333,             0.00033936,             0.00033936,             0.00033936
                     55,                0.55401,                0.48285,                0.96803,                0.94658,                0.88933,                0.93296,                 0.8173,                0.53205,                 0.4451,                0.91752,              0.0003323,              0.0003323,              0.0003323
                     56,                0.55536,                0.49274,                0.96617,                0.96343,                0.88376,                0.93088,                0.81461,                 0.5638,                0.43501,                0.94506,             0.00032523,             0.00032523,             0.00032523
                     57,                0.55678,                0.48033,                0.97461,                0.96146,                0.89781,                 0.9342,                0.80949,                0.56117,                0.44558,                0.96865,             0.00031816,             0.00031816,             0.00031816
                     58,                0.55318,                0.48044,                0.96887,                0.97472,                  0.885,                0.93063,                0.82744,                0.54409,                0.42105,                0.94556,             0.00031109,             0.00031109,             0.00031109
