                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0998,                 3.5961,                 1.3345,                0.89764,                0.23935,                0.40113,                0.28649,                0.96454,                 2.8004,                 1.2439,             0.00023397,             0.00023397,             0.00023397
                      2,                0.98521,                 2.3885,                 1.2288,                0.57418,                0.48481,                0.57972,                0.40425,                  1.103,                 1.9988,                 1.3049,             0.00046262,             0.00046262,             0.00046262
                      3,                 0.9754,                 1.9925,                 1.2058,                0.70993,                0.66497,                0.71295,                0.49842,                 1.0065,                 1.9387,                 1.3206,             0.00068185,             0.00068185,             0.00068185
                      4,                0.95776,                 1.7904,                 1.2003,                 0.7456,                0.73723,                0.78772,                0.53864,                 1.0351,                 1.6272,                 1.3396,             0.00067159,             0.00067159,             0.00067159
                      5,                0.93601,                 1.6453,                 1.1679,                0.86814,                0.71318,                0.80314,                0.60104,                0.90535,                 1.3372,                 1.1913,             0.00065745,             0.00065745,             0.00065745
                      6,                0.92037,                 1.5284,                 1.1481,                0.80481,                0.80019,                0.84143,                0.64506,                0.85281,                 1.3437,                  1.109,             0.00064331,             0.00064331,             0.00064331
                      7,                0.89355,                 1.3812,                 1.1362,                0.86704,                0.81897,                0.86663,                0.67089,                0.83882,                  1.129,                  1.142,             0.00062918,             0.00062918,             0.00062918
                      8,                0.86271,                  1.263,                 1.1265,                0.89392,                0.77058,                0.84162,                0.65263,                0.89457,                 1.1834,                 1.1547,             0.00061504,             0.00061504,             0.00061504
                      9,                0.87996,                 1.2381,                 1.1298,                0.85175,                0.84012,                0.88142,                0.69348,                0.85087,                 1.0118,                 1.1211,              0.0006009,              0.0006009,              0.0006009
                     10,                 0.8242,                 1.1791,                 1.1016,                0.92199,                0.82248,                0.89081,                0.72162,                0.77988,                0.93643,                 1.1085,             0.00058677,             0.00058677,             0.00058677
                     11,                0.79964,                 1.1021,                 1.0917,                0.90483,                0.81684,                0.89381,                0.71382,                0.78541,                0.95061,                 1.0974,             0.00057263,             0.00057263,             0.00057263
